Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
44746	Other (pre-midterm)	medium	Homework 2, Question 2	What would this Klingon phrase below be in English? How do you know?\\~\\{[pɑdɑq]}~\\\begin{figure}[H] \includegraphics{../images/klingon.png} \end{figure}~\\	klingon.png			
44746	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<philosophy>: {[fəlɑsəfi]}~\\ 				
74752	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<wimp>: {[wimp]}~\\ 				
74752	Articulatory Phonetics	medium	Quiz 2, Question 6	In the pronunciation of this word, which sounds are obstruents and which are sonorants? Explain your answer.\\~\\<sonorant>~\\ 				
94263	Skewed Distributions	hard	Week 5 Handout, Question 5	Explain why looking for patterns with consonants and vowels is a more reasonable approach to pattern finding in this dataset than looking for patterns with respect to all of the individual sounds in Ukrainian.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
94263	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ (Kathleen will then ask a follow-up question about your transcription.)\\~\\<goat>~\\ 				
70875	Articulatory Phonetics	medium	Week 3 Discussion	Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?\\~\\{[i]}~\\ 				
70875	Other (pre-midterm)	hard	Week 5 \& 6 Handouts	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
12377	Articulatory Phonetics	medium	Quiz 2, Question 7	Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?\\~\\<a\underline{w}ay>~\\\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}~\\ 				
12377	Skewed Distributions	hard	Week 5 Handout, Question 5	Explain why looking for patterns with consonants and vowels is a more reasonable approach to pattern finding in this dataset than looking for patterns with respect to all of the individual sounds in Ukrainian.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
36593	Skewed Distributions	hard	Week 5 Handout, Question 5	Explain why looking for patterns with consonants and vowels is a more reasonable approach to pattern finding in this dataset than looking for patterns with respect to all of the individual sounds in Ukrainian.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
36593	Other (pre-midterm)	medium	Week 2 Handout, Part I, Question 12	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)\\~\\What’s the difference in sound between the words <but> and <cut> in English? Is that the same difference as between <bit> and <kit>? Why or why not?~\\ 				
