Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
34785	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɑʊ]}~\\ 				
34785	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<finger>~\\ 				
90811	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<square>~\\ 				
90811	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[æ]}, {[ɑ]}~\\Addition: {[ɑɪ]}~\\ 				
94675	Articulatory Phonetics	medium	Quiz 2, Question 7	Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?\\~\\<a\underline{w}ay>~\\\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}~\\ 				
94675	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<climb>: {[klɑɪm]}~\\ 				
38415	Articulatory Phonetics	medium	Quiz 2, Question 7	Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?\\~\\<a\underline{w}ay>~\\\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}~\\ 				
38415	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[æ]}, {[ɑ]}~\\Addition: {[ɑɪ]}~\\ 				
72428	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<juice>~\\ 				
72428	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[ɛ]}, {[ɪ]}, {[ʊ]}, {[ɔ]}~\\Addition: {[ɑ]}~\\ 				
54125	Articulatory Phonetics	medium	Quiz 2, Question 7	Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?\\~\\<a\underline{w}ay>~\\\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}~\\ 				
54125	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[ɛ]}, {[ɪ]}, {[ʊ]}, {[ɔ]}~\\Addition: {[ɑ]}~\\ 				
