UniqueID	Topic	Difficulty	Source	DateCompleted	QuestionType(s)	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
QU1601510656451	Topic1	easy	Day 1 Discussion	2021-01-08	one	Here are some instructions for this question.								some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510606615	Topic1	medium	Day 1 Discussion	2021-01-08		Here are some instructions for this question.			sample1.png	Here is image 1.	sample2.jpg	Here is image 2.		some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510690141	Topic1	hard	Handout 1 Question 1	2021-01-08		Explain in what sense the difference between the sounds in the words <but> and <cut> is SIMILAR to and also DIFFERENT from the difference between the sounds in the words <bit> and <kit>.								some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510722050	Topic1	easy	Handout 1 Question 1	2021-01-08		Here are some instructions for this question.	[æ]							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510722779	Topic1	medium	Handout 1 Question 1	2021-01-08		Here are some instructions for this question.	[ɑ]							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510723466	Topic1	hard	Handout 1 Question 2	2021-01-08		Here are some instructions for this question.	[i]							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510724223	Topic1	easy	Handout 1 Question 2	2021-01-08		Here are some instructions for this question.	[u]							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510724907	Topic1	medium	Handout 1 Question 2	2021-01-08		Here are some instructions for this question.	[ɛ]							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510725600	Topic1	hard	Handout 1 Question 2	2021-01-08	one,two	Here are some instructions for this question.	[ɔ]							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510726243	Topic1	easy	Handout 1 Question 3	2021-01-10		Describe what the tongue would do / where it would move during each of the vowels in this word.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510726987	Topic1	medium	Handout 1 Question 3	2021-01-10		Here are some instructions for this question.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510727715	Topic1	hard	Handout 1 Question 3	2021-01-10		Here are some instructions for this question.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510728341	Topic1	easy	Handout 1 Question 3	2021-01-10		Here are some instructions for this question.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510728955	Topic1	medium	Handout 1 Question 3	2021-01-10		Here are some instructions for this question.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510729574	Topic1	hard	Quiz 1 Question 1	2021-01-11		Here are some instructions for this question.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510730488	Topic1	easy	Quiz 1 Question 1	2021-01-11		Here are some instructions for this question.	<data1>							some notes. not included in exams		instructor comments (must be latex-y!)
QU1601510730969	Topic1	medium	Quiz 1 Question 1	2021-01-11		Here are some instructions for this question.	<data1>									instructor comments (must be latex-y!)
QU1601510731748	Topic1	hard	Quiz 1 Question 1	2021-01-11		Here are some instructions for this question.	<data1>							only has one kind of sound and was the original answer	omit	instructor comments (must be latex-y!)
QU1601510732255	Topic1	easy	Quiz 1 Question 2	2021-01-11		Here are some instructions for this question.	<data1>									instructor comments (must be latex-y!)
QU1601510732851	Topic2	medium	Day 2 Discussion	2021-01-12		Here are some instructions for this question.	<data1>									instructor comments (must be latex-y!)
QU1601510733572	Topic2	hard	Day 2 Discussion	2021-01-12		Here are some instructions for this question.	<a\underline{w}ay>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}								instructor comments (must be latex-y!)
QU1601510734278	Topic2	easy	Day 2 Discussion	2021-01-12		Here are some instructions for this question.	<o\underline{p}en>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}								instructor comments (must be latex-y!)
QU1601510739887	Topic2	medium	Day 2 Discussion	2021-01-12		Here are some instructions for this question.	Original set: [æ], [ɑ]	Addition: [ɑʊ]						in sample summer 2021	omit	instructor comments (must be latex-y!)
QU1601510740567	Topic2	hard	Day 2 Discussion	2021-01-12		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [u], [ʊ], [oʊ], [ɔ]	Addition: [ɔɪ]								instructor comments (must be latex-y!)
QU1601510741283	Topic2	easy	Handout 2 Question 1	2021-01-12		Here are some instructions for this question.										instructor comments (must be latex-y!)
QU1601510741825	Topic2	medium	Handout 2 Question 2	2021-01-12		Here are some instructions for this question.										instructor comments (must be latex-y!)
QU1601510742511	Topic2	hard	Handout 2 Question 3	2021-01-12		Here are some instructions for this question.										instructor comments (must be latex-y!)
QU1601510743431	Topic2	easy	Handout 2 Question 3	2021-01-12		Here are some instructions for this question.										instructor comments (must be latex-y!)
QU1601510744232	Topic2	medium	Handout 2 Question 3	2021-01-12		Here are some instructions for this question.	[n]		sample1.png	Here is image 1.	sample3.png	Here is image 3.				instructor comments (must be latex-y!)
QU1601510744696	Topic2	hard	Handout 2 Question 3	2021-01-12	two	Here are some instructions for this question.										instructor comments (must be latex-y!)
QU1601510745337	Topic2	easy	Handout 2 Question 3	2021-01-12	two	Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.										instructor comments (must be latex-y!)
QU1601510745697	Topic2	medium	Quiz 2 Question 4	2021-01-12		Here are some instructions for this question.										no (voiceless interdental fricative)
QU1601510746268	Topic2	hard	Quiz 2 Question 6	2021-01-12		Here are some instructions for this question.										no (voiceless palatal fricative)
QU1601510746968	Topic2	easy	Quiz 2 Question 6	2021-01-12		Here are some instructions for this question.										yes (voiced palatal fricative)
QU1601510747460	Topic2	medium	Quiz 2 Question 6	2021-01-12		Here are some instructions for this question.										yes (voiceless palatal affricate)
