Topic	Difficulty	Source	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Acoustics	hard	Quiz 6, Question 1		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_shoe.png							shoe: fricative noise at mid-frequency; no voice bar; vowel formants that suggest low F1 (high V) and low F2 (back V)
Acoustics	hard	Quiz 6, Question 2		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_hippo.png							hippo: stop in middle indicated by silence / white space; vowels on either side; V1 has low F1 and high F2 (=high front V) and V2 has higher F1 and lower F2 (=mid to low backer vowel)
Acoustics	hard	Day 8 Handout, Question 3		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_aaah.png							aaah: just a vowel; formants are very steady; F1 and F2 are pretty close to each other; F1 somewhat high and F2 somewhat low
Acoustics	hard	Day 8 Handout, Question 3		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_you.png							you: clear formants, but starts with something like a glide because fainter; diphthong or changing values; F1 pretty constantly low (=high V); F2 starts high and goes low (=front to back)
Acoustics	hard	Day 8 Handout, Question 3		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_I.png							I: clear formants; all dark, so just a vowel; changes so a diphthong; F1 pretty high and then falls a bit (=starts as low V and goes higher); F2 starts pretty low and then goes up (=starts as back V and goes fronter)
Acoustics	hard	Day 8 Handout, Question 3		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_oh.png							oh: just a vowel; clear formants; pretty steady with a slight downward trend of both; F1 is pretty close to F2, which means F2 is pretty low (=back V), and F1 isn't super low (=mid to low vowel)
Acoustics	hard	Day 8 Handout, Question 3		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_we.png							we: starts paler, then darker, so glide plus vowel; F1 pretty constantly low (=high V); F2 starts very low and then swoops up (=starts back and goes front)
Acoustics	hard	Day 8 Handout, Question 6		Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_suit.png							suit: starts with fricative noise; then some kind of vowel; then a stop with a release burst; fricative is voiceless (no voice bar); fricative likely [s] because high-energy; vowel has low F1 (=high V) but then hard to see F2; stop is also voiceless
Acoustics	easy	Day 8 Handout, Question 1		Explain what (if anything) the letter below represents on this waveform.	A		sinusoid.png							wavelength or period
Acoustics	easy	Day 8 Handout, Question 1		Explain what (if anything) the letter below represents on this waveform.	B		sinusoid.png							nothing (twice amplitude)
Acoustics	easy	Day 8 Handout, Question 1		Explain what (if anything) the letter below represents on this waveform.	C		sinusoid.png							nothing (half wavelength or half period)
Acoustics	easy	Day 8 Handout, Question 1		Explain what (if anything) the letter below represents on this waveform.	D		sinusoid.png							amplitude
Acoustics	easy	Day 8 Handout, Question 1		Explain what (if anything) the letter below represents on this waveform.	E		sinusoid.png							nothing (half wavelength or half period)
Acoustics	hard	Day 8 Discussion		Briefly explain source-filter theory.										The vocal folds vibrate, setting the air coming from the lungs into motion -- this is the ``source'' sound wave, which is a complex wave, with energy at multiple different frequencies – the fundamental and its harmonics, i.e., its multiples. Then the oral and nasal cavities act as a "filter" to dampen (remove energy from) some of the frequencies of the sound and enhance others (the resonant frequencies). Depending on the shape of the mouth, different frequencies will resonate and so we get different formant values and hence different vowel qualities.
Acoustics	medium	Day 8 Handout, Question 4		Explain how each component of the description below gives you information about the sound being described.	This consonant is characterized by having the adjacent second and third formants ``pinched'' together; that is, F3 moves down and F2 moves up if you go from a vowel into this consonant. There is often a clear voice bar, but there’s no evidence of formants in the consonant itself. In fact, there’s not much energy during the consonant at all.									[ɡ]; check for voicing, place, and manner
Acoustics	medium	Day 8 Handout, Question 4		Explain how each component of the description below gives you information about the sound being described.	This consonant is characterized by having a clear voice bar and its own formants (at around 250 Hz, 2500 Hz, and 3250 Hz). These formants, however, are not as intense as they would be if they were vowel formants. The effect on the formants of the adjacent vowel is usually relatively small; the second formant of the vowel will probably be around 1750 Hz.									[n]; check for voicing, place, and manner
Acoustics	medium	Day 8 Handout, Question 4		Explain how each component of the description below gives you information about the sound being described.	This consonant is characterized by having a lot of random noise in the spectrogram, with no clear formant structure at all. It tends to be longer and louder than other similar consonants. There is no voice bar, and the majority of the noise created by this consonant is at relatively high frequencies.									[s]; check for voicing, place, and manner
Acoustics	medium	Day 8 Handout, Question 4		Explain how each component of the description below gives you information about the sound being described.	This consonant typically starts off with nothing at all visible on the spectrogram. There is then a short period of noise between the silence and the following vowel. This consonant typically brings the second and third formants of the adjacent vowel down.									[pʰ]; check for voicing, place, and manner
