UniqueID	Topic	Difficulty	Source2020S	Source2020W	Source2021S	DateCompleted	QuestionType(s)	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
QU1601510656451	Articulatory Phonetics	hard	Day 2 Discussion	Week 2 Discussion	Day 2 Discussion	2021-06-01	signlanguage, phonphon, general	Explain why it's possible to say that signed languages have articulatory phonetics.										
QU1601510606615	Articulatory Phonetics	easy	n/a	Quiz 1, Question 12	Quiz 1, Question 12	2021-06-01		Explain what this diagram tells you about the articulation of sounds.			spreadglottis_diagram.png							
QU1601510690141	Articulatory Phonetics	easy	n/a	Week 2 Handout, Part I, Question 12	Day 1 Handout, Part II, Question 12	2021-06-01		Explain in what sense the difference between the sounds in the words <but> and <cut> is SIMILAR to and also DIFFERENT from the difference between the sounds in the words <bit> and <kit>.										
QU1601510722050	Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	Day 2 Discussion	2021-06-01		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[æ]									no
QU1601510722779	Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	Day 2 Discussion	2021-06-01		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɑ]									no
QU1601510723466	Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	Day 2 Discussion	2021-06-01		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[i]									yes
QU1601510724223	Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	Day 2 Discussion	2021-06-01		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[u]									yes
QU1601510724907	Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	Day 2 Discussion	2021-06-01		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɛ]									yes
QU1601510725600	Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	Day 2 Discussion	2021-06-01		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɔ]									yes
QU1601510726243	Articulatory Phonetics	easy	n/a	Week 3 Discussion	Day 2 Discussion	2021-06-01		Describe what the tongue would do / where it would move during each of the vowels in this word.	<vacuum>									
