Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
36116	Phonological Features	hard	Quiz 3, Question 12	Explain how you figure out which feature is involved in the process of umlaut shown below.\\~\\\begin{figure}[H] \includegraphics{../images/dutch.png} \end{figure}~\\	dutch.png			
36116	Articulatory Phonetics	medium	Week 3 Handout, Question 13	Explain why this image does or does not match the description.\\~\\\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; distal joints of index fingers fold in during the sign. \item Movement: Hands start apart and then move straight toward each other horizontally. \end{itemize}~\\\begin{figure}[H] \includegraphics{../images/taiwansign_consistent.png} \caption{CONSISTENT} \end{figure}~\\	taiwansign_consistent.png	CONSISTENT		
83841	Phonological Features	hard	Quiz 3, Question 12	Explain how you figure out which feature is involved in the process of umlaut shown below.\\~\\\begin{figure}[H] \includegraphics{../images/dutch.png} \end{figure}~\\	dutch.png			
83841	Skewed Distributions	medium	Week 5 Handout, Question 4	Explain why it's not reasonable to make any of the following claims about Phonologese.\\~\\\begin{figure}[H] \includegraphics{../images/Phonologese.png} \end{figure}~\\	Phonologese.png			
74752	Skewed Distributions	hard	Week 5 Handout, Question 6	If I gave you a new word in Malto, [di\_\_u], would it be possible to predict whether it's [d] or [ɖ] that goes in the blank? Explain why or why not.\\~\\\begin{figure}[H] \includegraphics{../images/malto.png} \end{figure}~\\	malto.png			
74752	Phonological Features	medium	Week 4 Discussion	Explain what the given feature’s value is for this class of sounds, and why.\\~\\{[consonantal]}~\\glides~\\ 				
17335	Phonological Features	medium	Week 4 Discussion	Explain what the given feature’s value is for this class of sounds, and why.\\~\\{[consonantal]}~\\glides~\\ 				
17335	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[ɛ]}, {[ɪ]}, {[ʊ]}, {[ɔ]}~\\Addition: {[ɑ]}~\\ 				
33446	Skewed Distributions	medium	Week 5 Handout, Question 3	What evidence is there that there is a pattern in these data, assuming that these are the only CV and VC sequences that occur in some language?\\~\\{[sa]}, {[ʃi]}, {[za]}, {[ʒi]}, {[as]}, {[iʃ]}, {[az]}, {[iʒ]}~\\ 				
33446	Other (pre-midterm)	hard	Week 5 \& 6 Handouts	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
27762	Skewed Distributions	hard	Week 5 Handout, Question 7	Explain how you would go about looking for co-occurrence restrictions in bi-syllabic signs in ASL. (Refer to the data that follows.)\\~\\\begin{figure}[H] \includegraphics{../images/ASL_movement.png} \end{figure}~\\	ASL_movement.png			
27762	Phonological Features	medium	Quiz 3, Question 3	Explain why this featural specification either does or does not match the given sound.\\~\\{[-consonantal]}, {[+sonorant]}~\\{[h]}~\\ 				
52421	Other (pre-midterm)	medium	Week 4 Handout, Part II, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘third person masc. object’ (‘him’)~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
52421	Phonological Features	hard	Week 4 Discussion	Explain why phonological features are used instead of phonetic characteristics in analyzing datasets.\\~\\ 				
56567	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Explain why this is or is not a complete phonetic natural class in standard North American English.\\~\\{[f]}, {[θ]}, {[z]}, {[h]}~\\ 				
56567	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<paid>: {[peid]}~\\ 				
36273	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<mine>: {[mɑɪn]}~\\ 				
36273	Skewed Distributions	medium	Week 5 Handout, Question 3	What evidence is there that there is a pattern in these data, assuming that these are the only CV and VC sequences that occur in some language?\\~\\{[sa]}, {[ʃi]}, {[za]}, {[ʒi]}, {[as]}, {[iʃ]}, {[az]}, {[iʒ]}~\\ 				
19711	Phonological Features	hard	Quiz 3, Question 12	Explain how you figure out which feature is involved in the process of umlaut shown below.\\~\\\begin{figure}[H] \includegraphics{../images/dutch.png} \end{figure}~\\	dutch.png			
19711	Other (pre-midterm)	medium	Week 4 Handout, Part II, Question 2(iii)	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT need to give me the meaning itself -- just explain the process of figuring it out.)\\~\\{[watanipiɡa]}~\\\begin{figure}[H] \includegraphics{../images/swahiliverbs.png} \end{figure}~\\	swahiliverbs.png			
