Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
39207	Other (pre-midterm)	hard	Day 4 \& 6 Handouts	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
39207	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol(s) you used for the second syllable sound in this word.\\~\\<finger>~\\ 				
67575	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol you used for the first consonant sound in this word.\\~\\<juice>~\\ 				
67575	Skewed Distributions	hard	Day 4 Handout, Question 6	If I gave you a new word in Malto, [di\_\_u], would it be possible to predict whether it's [d] or [t] that goes in the blank? Explain why or why not.\\~\\\begin{figure}[H] \includegraphics{../images/malto.png} \end{figure}~\\	malto.png			
17487	Skewed Distributions	medium	Quiz 3, Question 1	L$_X$ (Language X) has three vowels, [i], [a], and [u]. It has bi-syllabic roots like Kikuyu. It does not allow non-identical high vowels to co-occur. Of the following nine logically possible vocalic sequences, which ones should be unattested in L$_X$? Explain why.\\~\\\begin{itemize} \item {[i...i]} \item {[i...a]} \item {[i...u]} \item {[a...i]} \item {[a...a]} \item {[a...u]} \item {[u...i]} \item {[u...a]} \item {[u...u]} \end{itemize}~\\ 				
17487	Other (pre-midterm)	hard	Day 3 Handout, Question 5	Explain what we mean by saying that linguistic patterns are \underline{productive}.\\~\\ 				
67444	Other (pre-midterm)	hard	Day 4 \& 6 Handouts	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
67444	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol you used for the first consonant sound in this word.\\~\\<juice>~\\ 				
23071	Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2	Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.\\~\\/emɛs/~\\{[non-low vowel]} --> {[lax]} / __ C$_0$ {[lax vowel]}~\\ 				
23071	Skewed Distributions	hard	Day 4 Handout, Question 6	If I gave you a new word in Malto, [di\_\_u], would it be possible to predict whether it's [d] or [t] that goes in the blank? Explain why or why not.\\~\\\begin{figure}[H] \includegraphics{../images/malto.png} \end{figure}~\\	malto.png			
85086	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Explain why this image does or does not match the description.\\~\\\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index finger extended; finger folds down into a “hook” shape during the sign; then straightens and repeats the folding. \item Movement: No movement other than the change in handshape. \end{itemize}~\\\begin{figure}[H] \includegraphics{../images/taiwansign_wrong.png} \caption{WRONG} \end{figure}~\\	taiwansign_wrong.png	WRONG		
85086	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<wimp>: {[wimp]}~\\ 				
