Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
44715	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<choose>: {[t͡ʃuz]}~\\ 				
44715	Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2	Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.\\~\\/emɛs/~\\{[non-low vowel]} --> {[lax]} / __ C$_0$ {[lax vowel]}~\\ 				
34548	Skewed Distributions	hard	Day 4 Handout, Question 5	Explain why looking for patterns with consonants and vowels is a more reasonable approach to pattern finding in this dataset than looking for patterns with respect to all of the individual sounds in Ukrainian.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
34548	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Explain how to figure out what the sound being produced is in this diagram.\\~\\\begin{figure}[H] \includegraphics{../images/sagittal_p.png} \end{figure}~\\	sagittal_p.png			
78380	Other (pre-midterm)	medium	Day 3 Handout, Question 2(iii)	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT necessarily need to give me the meaning itself -- just explain the process of figuring it out.)\\~\\{[watanipiɡa]}~\\\begin{figure}[H] \includegraphics{../images/swahiliverbs.png} \end{figure}~\\	swahiliverbs.png			
78380	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<paid>: {[peid]}~\\ 				
68382	Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɔɪ]}~\\ 				
68382	Phonological Relationships and Analysis	medium	Quiz 5, Question 2	State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.\\~\\\begin{figure}[H] \includegraphics{../images/peng70ao_a.png} \end{figure}~\\	peng70ao_a.png			
89289	Articulatory Phonetics	medium	Day 2 Discussion	Describe what the tongue would do / where it would move during each of the vowels in this word.\\~\\<bookmark>~\\ 				
89289	Other (pre-midterm)	hard	Day 4 \& 6 Handouts	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
99594	Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɔɪ]}~\\ 				
