Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
44715	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɔɪ]}~\\ 				
44715	Phonological Features	medium	Week 4 Discussion	Explain why the given feature's value varies across this set of sounds.\\~\\{[sonorant]}~\\alveolars~\\ 				
34548	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[æ]}, {[ɑ]}~\\Addition: {[ɑʊ]}~\\ 				
34548	Phonological Features	medium	Week 4 Discussion	Explain what the given feature’s value is for this class of sounds, and why.\\~\\{[continuant]}~\\glottals~\\ 				
78380	Articulatory Phonetics	medium	Week 3 Discussion	Describe what the tongue would do / where it would move during each of the vowels in this word.\\~\\<July>~\\ 				
78380	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<mouse>: {[mɔɪs]}~\\ 				
68382	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<loud>: {[lɑud]}~\\ 				
68382	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Explain why this is or is not a complete phonetic natural class in standard North American English.\\~\\{[ɔ]}, {[ʊ]}, {[u]}, {[oʊ]}~\\ 				
74654	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[æ]}, {[ɑ]}~\\Addition: {[ɑɪ]}~\\ 				
74654	Other (pre-midterm)	medium	Week 4 Handout, Part II, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘drink’~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
99594	Skewed Distributions	medium	Week 5 Handout, Question 1	Explain why we think that languages are not random in terms of their phonology.\\~\\ 				
99594	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɑʊ]}~\\ 				
