Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
78680	Skewed Distributions	medium	Day 4 Handout, Question 1	Explain why we think that languages are not random in terms of their phonology.\\~\\ 				
78680	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<mouse>: {[mɔɪs]}~\\ 				
13570	Other (pre-midterm)	medium	Day 3 Handout, Question 2(iv)	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)\\~\\‘We have fallen down.’~\\\begin{figure}[H] \includegraphics{../images/swahiliverbs.png} \end{figure}~\\	swahiliverbs.png			
13570	Articulatory Phonetics	hard	Day 2 Discussion	Explain why it's possible to say that signed languages have articulatory phonetics.\\~\\ 				
53176	Other (pre-midterm)	hard	Day 3 Handout, Question 5	Explain what we mean by saying that linguistic patterns are \underline{productive}.\\~\\ 				
53176	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol you used for the first consonant sound in this word.\\~\\<toy>~\\ 				
44365	Phonological Relationships and Analysis	hard	Day 6 Handout, Question 1	Explain why it is possible to predict whether a plain or aspirated voiceless stop will occur in a new context (in English), but not to predict the place of articulation of a voiceless stop in a new context.\\~\\\begin{figure}[H] \includegraphics{../images/aspiration.png} \end{figure}~\\	aspiration.png			
44365	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol you used for the vowel sound in this word.\\~\\<square>~\\ 				
43119	Skewed Distributions	hard	Day 4 Handout, Question 6	If I gave you a new word in Malto, [di\_\_u], would it be possible to predict whether it's [d] or [t] that goes in the blank? Explain why or why not.\\~\\\begin{figure}[H] \includegraphics{../images/malto.png} \end{figure}~\\	malto.png			
43119	Other (pre-midterm)	medium	Day 3 Handout, Question 2(iii)	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT necessarily need to give me the meaning itself -- just explain the process of figuring it out.)\\~\\{[watanipiɡa]}~\\\begin{figure}[H] \includegraphics{../images/swahiliverbs.png} \end{figure}~\\	swahiliverbs.png			
